,HomelessIndicator,Demographic,DemographicValue,Encounters,TotalEncounters
15683,Homeless,Age,40 to 59,1602,3645
15687,Homeless,Age,40 to 59,2083,4527
15691,Homeless,Age,40 to 59,1189,2492
15695,Homeless,Age,40 to 59,677,1673
15699,Homeless,Age,40 to 59,683,1382
15703,Homeless,Age,40 to 59,1684,3375
15727,Homeless,Age,40 to 59,411,923
15731,Homeless,Age,40 to 59,180,448
15735,Homeless,Age,40 to 59,1164,2557
15739,Homeless,Age,40 to 59,381,938
15743,Homeless,Age,40 to 59,433,943
15747,Homeless,Age,40 to 59,5,5
15751,Homeless,Age,40 to 59,1328,3631
15755,Homeless,Age,40 to 59,130,315
15759,Homeless,Age,40 to 59,458,1031
15771,Homeless,Age,40 to 59,460,976
15775,Homeless,Age,40 to 59,2146,4545
15780,Homeless,Age,40 to 59,44,121
15783,Homeless,Age,40 to 59,1928,3693
15787,Homeless,Age,40 to 59,1190,2470
15791,Homeless,Age,40 to 59,421,882
15795,Homeless,Age,40 to 59,641,1436
15799,Homeless,Age,40 to 59,277,615
15803,Homeless,Age,40 to 59,1190,2463
15807,Homeless,Age,40 to 59,791,1485
15815,Homeless,Age,40 to 59,283,706
